id,Formulário,Módulo,Questão,Domínio,Obrigatoriedade
E311,Formulário E,Módulo 3,"Atividade : Com base nas discussões e, considerando a realidade do estado, quais fragilidades relacionadas à contratualização dos pontos de atenção à saúde o grupo identifica na SES?","[E311a] Contratos não alinhados às necessidades de saúde da população, ao planejamento regional e ao papel dos pontos de atenção na Rede de Atenção à Saúde (RAS); [E311b] Predomínio de lógica contratual voltada à produção (quantidade), ao faturamento e à conformidade documental, com baixa indução de resultados em saúde; [E311c] Contratualização restrita a prestadores filantrópicos e privados, sem abrangência de todos os pontos de atenção da rede; [E311d] Serviços próprios financiados por orçamento não submetidos a instrumentos formais de contratualização, com ausência de metas e indicadores pactuados; [E311e] Ausência de estratégias para fomentar a contratualização dos serviços de Atenção Primária à Saúde (APS) nos territórios.; [E311f] Baixa integração entre contratualização, regulação do acesso e planejamento regional; [E311g] Fragilidade nos processos de monitoramento e avaliação dos contratos, com baixa utilização de metas, indicadores e resultados para tomada de decisão",*
E312a,Formulário E,Módulo 3,"A partir das fragilidades identificadas, quais desafios devem ser priorizados para qualificar a contratualização como instrumento da regulação? (Relatar desafio prioritário 1)",texto livre,*
E312b,Formulário E,Módulo 3,"A partir das fragilidades identificadas, quais desafios devem ser priorizados para qualificar a contratualização como instrumento da regulação? (Relatar desafio prioritário 2)",texto livre,*
E312c,Formulário E,Módulo 3,Informações complementares (se houver),texto livre,
F401,Formulário F,Módulo 4,SES:,AC; AL; AM; AP; BA; CE; DF; ES; GO; MA; MG; MS; MT; PA; PB; PE; PI; PR; RJ; RN; RO; RR; RS; SC; SE; SP; TO,*
F402,Formulário F,Módulo 4,Relator,texto livre,*
F403,Formulário F,Módulo 4,e-mail,e-mail válido,*
F404,Formulário F,Módulo 4,Coordenador,texto livre,*
F405,Formulário F,Módulo 4,e-mail,e-mail válido,*
F406,Formulário F,Módulo 4,"Atividade: Com base nas discussões e, considerando a realidade do estado, quais fragilidades relacionadas à organização da regulação do acesso (complexos reguladores, gestão das listas de espera, transporte sanitário e gestão Informação) o grupo identifica na SES?","[F406a] Baixa integração e articulação entre os complexos reguladores nas esferas estadual, regional e municipal; [F406b] Capacidade operacional limitada dos complexos reguladores para coordenar o acesso de forma oportuna e equitativa; [F406c] Ausência ou insuficiência de mecanismos de transparência das listas de espera, incluindo a disponibilização de informações ao usuário e o monitoramento de tempos médios de espera; [F406d] Fragilidade na definição e na implementação de fluxos assistenciais que orientem, de forma integrada ao planejamento regional, a utilização do transporte sanitário; [F406e] Ausência ou baixa efetividade da gestão integrada da informação da regulação do acesso; [F406f] Baixa integração e interoperabilidade entre os sistemas de informação utilizados pelos diferentes pontos da RAS; [F406g] Uso limitado de dados e informações da regulação para subsidiar o planejamento, a tomada de decisão e o monitoramento da RAS",*
F407a,Formulário F,Módulo 4,"A partir das fragilidades identificadas e da discussão do grupo sobre os temas (i) complexos reguladores, (ii) gestão das listas de espera, (iii) transporte sanitário e (iv) gestão da informação da regulação do acesso, cite os desafios estruturantes que devem ser priorizados para qualificar a regulação do acesso no estado? (Relatar desafio 1 prioritário por tema)",texto livre,*
F407b,Formulário F,Módulo 4,"A partir das fragilidades identificadas e da discussão do grupo sobre os temas (i) complexos reguladores, (ii) gestão das listas de espera, (iii) transporte sanitário e (iv) gestão da informação da regulação do acesso, cite os desafios estruturantes que devem ser priorizados para qualificar a regulação do acesso no estado? (Relatar desafio 1 prioritário por tema)",texto livre,*
F407c,Formulário F,Módulo 4,Informações complementares (se houver),texto livre,
